"ID","Genus","Species","Sex","Year","Tank","March","April"
"SL41","Silirus","glanis","Male",2014,"Tank2",21.93,83.741
"SL42","Silirus","glanis","Male",2014,"Tank2",21.32,82.299
"SL43","Silirus","glanis","Male",2014,"Tank2",26.26,78.525
"SL44","Silirus","glanis","Male",2014,"Tank2",26.82,80.752
"SL45","Silirus","glanis","Female",2014,"Tank2",26.68,72.633
"SL46","Silirus","glanis","Male",2014,"Tank2",26.71,79.912
"SL47","Silirus","glanis","Female",2014,"Tank2",25.95,72.503
"SL48","Silirus","glanis","Male",2014,"Tank2",23.23,78.389
"SL49","Silirus","glanis","Male",2014,"Tank2",25.46,73.129
"SL50","Silirus","glanis","Female",2014,"Tank2",22.11,75.949
"SL51","Silirus","glanis","Male",2015,"Tank3",25.5,72.567
"SL52","Silirus","glanis","Male",2015,"Tank3",18.32,70.64
"SL53","Silirus","glanis","Female",2015,"Tank3",28.32,77.541
"SL54","Silirus","glanis","Female",2015,"Tank3",24.75,66.541
"SL55","Silirus","glanis","Male",2015,"Tank3",23.41,75.194
"SL56","Silirus","glanis","Male",2015,"Tank3",21.75,69.524
"SL57","Silirus","glanis","Male",2015,"Tank3",25.29,72.93
"SL58","Silirus","glanis","Male",2015,"Tank3",24.69,76.643
"SL59","Silirus","glanis","Female",2015,"Tank3",23.09,73.111
"SL60","Silirus","glanis","Male",2015,"Tank3",21.46,72.459
"SL61","Silirus","glanis","Male",2015,"Tank3",21.5,77.267
"SL62","Silirus","glanis","Female",2015,"Tank3",26.55,74.062
"SL63","Silirus","glanis","Female",2015,"Tank3",22.3,73.757
"SL64","Silirus","glanis","Female",2015,"Tank3",23.3,79.418
"SL65","Silirus","glanis","Male",2015,"Tank3",21.72,74.503
"SL66","Silirus","glanis","Female",2015,"Tank3",16.97,71.309
"SL67","Silirus","glanis","Male",2015,"Tank3",22.3,72.624
"SL68","Silirus","glanis","Male",2015,"Tank3",26.41,71.751
"SL69","Silirus","glanis","Female",2015,"Tank3",21.76,74.541
"SL70","Silirus","glanis","Male",2015,"Tank3",24.89,70.408
"SL71","Silirus","glanis","Male",2015,"Tank3",26.48,69.077
"SL72","Silirus","glanis","Female",2015,"Tank3",19.33,66.856
"SL73","Silirus","glanis","Female",2015,"Tank3",26.39,69.635
"SL74","Silirus","glanis","Female",2015,"Tank3",21.29,72.612
"SL75","Silirus","glanis","Male",2015,"Tank3",27.12,71.569
"SL76","Silirus","glanis","Female",2015,"Tank4",30.62,72.977
"SL77","Silirus","glanis","Female",2015,"Tank4",28.7,68.337
"SL78","Silirus","glanis","Male",2015,"Tank4",28.1,71.609
"SL79","Silirus","glanis","Male",2015,"Tank4",21.31,72.366
"SL80","Silirus","glanis","Male",2015,"Tank4",23.37,72.144
"SL81","Silirus","glanis","Female",2015,"Tank4",21.89,74.594
"SL82","Silirus","glanis","Male",2015,"Tank4",24.16,65.57
"SL83","Silirus","glanis","Male",2015,"Tank4",19.58,72.458
"SL84","Silirus","glanis","Male",2015,"Tank4",23.82,70.07
"SL85","Silirus","glanis","Female",2015,"Tank4",25.71,67.292
"SL86","Silirus","glanis","Female",2015,"Tank4",22.8,71.567
"SL87","Silirus","glanis","Female",2015,"Tank4",22.57,71.151
"SL88","Silirus","glanis","Female",2015,"Tank4",25.8,65.175
"SL89","Silirus","glanis","Male",2015,"Tank4",20.06,69.393
"SL90","Silirus","glanis","Male",2015,"Tank4",24.22,76.319
"SL91","Silirus","glanis","Male",2015,"Tank4",24.18,74.077
"SL92","Silirus","glanis","Male",2015,"Tank4",20.49,71.436
"SL93","Silirus","glanis","Male",2015,"Tank4",23.28,71.462
"SL94","Silirus","glanis","Female",2015,"Tank4",25.63,75.637
"SL95","Silirus","glanis","Male",2015,"Tank4",29.43,71.759
"SL96","Silirus","glanis","Female",2015,"Tank4",28.96,79.298
"SL97","Silirus","glanis","Male",2015,"Tank4",22.57,76.759
"SL98","Silirus","glanis","Female",2015,"Tank4",25.51,71.885
"SL99","Silirus","glanis","Female",2015,"Tank4",22.83,73.025
"SL100","Silirus","glanis","Male",2015,"Tank4",23.72,74.384
"SA1","Silurus","asotus","Female",2014,"Tank1",19.86,57.887
"SA2","Silurus","asotus","Male",2014,"Tank1",19.95,67.002
"SA3","Silurus","asotus","Female",2014,"Tank1",18.36,64.861
"SA4","Silurus","asotus","Female",2014,"Tank1",22.9,66.121
"SA5","Silurus","asotus","Male",2014,"Tank1",17.93,61.623
"SA6","Silurus","asotus","Female",2014,"Tank1",23.19,64.678
"SA7","Silurus","asotus","Female",2014,"Tank1",17.53,66.08
"SA8","Silurus","asotus","Male",2014,"Tank1",20.47,69.738
"SA9","Silurus","asotus","Female",2014,"Tank1",20.56,65.663
"SA10","Silurus","asotus","Male",2014,"Tank1",15.82,66.708
"SA11","Silurus","asotus","Female",2014,"Tank1",18.52,65.194
"SA12","Silurus","asotus","Male",2014,"Tank1",17.09,64.775
"SA13","Silurus","asotus","Female",2014,"Tank1",24.92,57.3
"SA14","Silurus","asotus","Female",2014,"Tank1",23.58,61.522
"SA15","Silurus","asotus","Male",2014,"Tank1",16.16,60.473
"SA16","Silurus","asotus","Male",2014,"Tank1",13.64,64.419
"SA17","Silurus","asotus","Male",2014,"Tank1",23.85,59.668
"SA18","Silurus","asotus","Female",2014,"Tank1",22.64,64.825
"SA19","Silurus","asotus","Female",2014,"Tank1",22.54,62.787
"SA20","Silurus","asotus","Female",2014,"Tank1",20.28,63.371
"SA21","Silurus","asotus","Male",2014,"Tank1",20.8,68.51
"SA22","Silurus","asotus","Male",2014,"Tank1",18.58,67.024
"SA23","Silurus","asotus","Male",2014,"Tank1",20.27,66.828
"SA24","Silurus","asotus","Female",2014,"Tank1",23.5,63.622
"SA25","Silurus","asotus","Male",2014,"Tank1",18.35,61.766
"SA26","Silurus","asotus","Male",2014,"Tank2",19.39,62.75
"SA27","Silurus","asotus","Male",2014,"Tank2",23.38,62.089
"SA28","Silurus","asotus","Female",2014,"Tank2",24.24,58.066
"SA29","Silurus","asotus","Male",2014,"Tank2",16.41,64.979
"SA30","Silurus","asotus","Male",2014,"Tank2",24,58.15
"SA31","Silurus","asotus","Male",2014,"Tank2",20.61,58.711
"SA32","Silurus","asotus","Male",2014,"Tank2",24.5,63.808
"SA33","Silurus","asotus","Female",2014,"Tank2",16.25,65.673
"SA34","Silurus","asotus","Female",2014,"Tank2",24.31,69.948
"SA35","Silurus","asotus","Male",2014,"Tank2",26.06,67.319
"SA36","Silurus","asotus","Female",2014,"Tank2",20.34,62.888
"SA37","Silurus","asotus","Female",2014,"Tank2",20.93,67.468
"SA38","Silurus","asotus","Female",2014,"Tank2",23.01,65.458
"SA39","Silurus","asotus","Male",2014,"Tank2",18.22,65.199
"SA40","Silurus","asotus","Female",2014,"Tank2",18,62.229
"SA41","Silurus","asotus","Male",2014,"Tank2",24.25,62.833
"SA42","Silurus","asotus","Male",2014,"Tank2",23.93,70.398
"SA43","Silurus","asotus","Male",2014,"Tank2",19.32,64.739
"SA44","Silurus","asotus","Female",2014,"Tank2",18.79,64.011
"SA45","Silurus","asotus","Male",2014,"Tank2",18.84,62.762
"SA46","Silurus","asotus","Male",2014,"Tank2",25.33,66.124
"SA47","Silurus","asotus","Female",2014,"Tank2",19.3,63.754
"SA48","Silurus","asotus","Male",2014,"Tank2",20.59,65.147
"SA49","Silurus","asotus","Male",2014,"Tank2",24.71,61.642
"SA50","Silurus","asotus","Male",2014,"Tank2",25.51,61.418
"SA51","Silurus","asotus","Male",2015,"Tank3",28.65,81.85
"SA52","Silurus","asotus","Female",2015,"Tank3",23.37,74.96
"SA53","Silurus","asotus","Female",2015,"Tank3",24.86,73.44
"SA54","Silurus","asotus","Female",2015,"Tank3",31.98,73
"SA55","Silurus","asotus","Female",2015,"Tank3",17.68,78.6
"SA56","Silurus","asotus","Female",2015,"Tank3",24.57,78.75
"SA57","Silurus","asotus","Male",2015,"Tank3",28.01,78.24
"SA58","Silurus","asotus","Female",2015,"Tank3",22.7,77.07
"SA59","Silurus","asotus","Female",2015,"Tank3",22.41,69.71
"SA60","Silurus","asotus","Male",2015,"Tank3",24.88,83.15
"SA61","Silurus","asotus","Male",2015,"Tank3",25.96,76.83
"SA62","Silurus","asotus","Female",2015,"Tank3",25,72.45
"SA63","Silurus","asotus","Female",2015,"Tank3",23.38,80.33
"SA64","Silurus","asotus","Female",2015,"Tank3",23.96,72.97
"SA65","Silurus","asotus","Male",2015,"Tank3",19.71,77.73
"SA66","Silurus","asotus","Male",2015,"Tank3",22.75,73.78
"SA67","Silurus","asotus","Female",2015,"Tank3",24.21,77.12
"SA68","Silurus","asotus","Male",2015,"Tank3",20.93,77.09
"SA69","Silurus","asotus","Female",2015,"Tank3",26.09,75.81
"SA70","Silurus","asotus","Female",2015,"Tank3",23.73,80.68
"SA71","Silurus","asotus","Female",2015,"Tank3",27.27,74.62
"SA72","Silurus","asotus","Female",2015,"Tank3",24.81,75.35
"SA73","Silurus","asotus","Female",2015,"Tank3",29.13,65.84
"SA74","Silurus","asotus","Male",2015,"Tank3",28.76,73.37
"SA75","Silurus","asotus","Male",2015,"Tank3",23.79,68.08
"SA76","Silurus","asotus","Female",2015,"Tank4",27.56,78.08
"SA77","Silurus","asotus","Male",2015,"Tank4",23.9,76.24
"SA78","Silurus","asotus","Female",2015,"Tank4",27.75,78.36
"SA79","Silurus","asotus","Female",2015,"Tank4",24.93,78.82
"SA80","Silurus","asotus","Male",2015,"Tank4",22.31,78.06
"SA81","Silurus","asotus","Female",2015,"Tank4",27.07,77.17
"SA82","Silurus","asotus","Female",2015,"Tank4",23.93,81.66
"SA83","Silurus","asotus","Male",2015,"Tank4",31.57,76.17
"SA84","Silurus","asotus","Female",2015,"Tank4",23.92,75.43
"SA85","Silurus","asotus","Male",2015,"Tank4",25.85,67.19
"SA86","Silurus","asotus","Female",2015,"Tank4",24.54,74
"SA87","Silurus","asotus","Male",2015,"Tank4",23.88,76.72
"SA88","Silurus","asotus","Female",2015,"Tank4",24.12,76.21
"SA89","Silurus","asotus","Female",2015,"Tank4",21.87,76.18
"SA90","Silurus","asotus","Female",2015,"Tank4",24.36,74.19
"SA91","Silurus","asotus","Male",2015,"Tank4",26.59,74.81
"SA92","Silurus","asotus","Male",2015,"Tank4",27.15,79.05
"SA93","Silurus","asotus","Female",2015,"Tank4",23.7,70.86
"SA94","Silurus","asotus","Male",2015,"Tank4",22.8,75.01
"SA95","Silurus","asotus","Female",2015,"Tank4",23.16,74.73
"SA96","Silurus","asotus","Female",2015,"Tank4",21.19,71.76
"SA97","Silurus","asotus","Male",2015,"Tank4",27.14,80.53
"SA98","Silurus","asotus","Female",2015,"Tank4",23.05,79.45
"SA99","Silurus","asotus","Male",2015,"Tank4",21.84,77.06
"SA100","Silurus","asotus","Male",2015,"Tank4",24.3,73.66
