Species,Sex,Wing,Tarsus,Head,Bill
SSTS,Male,61,21.3,32.3,13.3
SSTS,Male,59,22.1,32.4,13.1
SSTS,Male,58,21.8,32.4,13.3
SSTS,Male,60,22.1,32.5,13.1
SSTS,Male,56.5,21.3,32.5,13.1
SSTS,Male,58.5,20.6,32.5,13.3
SSTS,Male,60,21.9,32.6,13.2
SSTS,Male,58,21.5,32.6,13.6
SSTS,Male,59,21.6,32.7,13.4
SSTS,Male,60,21.1,32.8,13.3
SSTS,Female,54,20.8,30.6,12.8
SSTS,Female,55,19.8,30.9,12.7
SSTS,Female,54,20.3,31,12.6
SSTS,Female,56,19.6,31,12.8
SSTS,Female,56,21,31.2,13
SSTS,Female,54,19.9,31.3,12.8
SSTS,Male,59,21,31.5,13.6
SSTS,Female,55,20.9,31.5,13.1
SSTS,Male,56,20.7,31.5,13.2
SSTS,Male,58,20.5,31.5,12.7
SSTS,Female,53,20.5,31.5,12.7
SSTS,Female,55,20.3,31.5,13.1
SSTS,Female,55.5,19.9,31.5,13.2
SSTS,Male,61.5,22.6,31.6,13.5
SSTS,Male,58,22.5,31.6,13.4
SSTS,Male,60,21.1,31.6,13.4
SSTS,Male,61,21,31.6,13.3
SSTS,Male,60,21.8,31,13.2
SSTS,Female,55,21,31.7,13.6
SSTS,Female,55.5,20.2,31.7,12.9
SSTS,Male,59,22,31.8,13.2
SSTS,Female,55,21.3,31.8,13.2
SSTS,Male,60,22.2,32,13.4
SSTS,Male,62,21.9,32,13.8
SSTS,Male,60,21.2,32,12.7
SSTS,Male,58,20.9,32,13.2
SSTS,Female,55.5,20.8,32,13.8
SSTS,Female,57,20.1,32,12
SSTS,Male,57.5,22.2,32.1,13.4
SSTS,Male,57.5,21.9,32.1,13.1
SSTS,Male,57.5,21.2,32.1,13.2
SSTS,Male,58,21,32.1,12.7
SSTS,Male,60.5,21.9,32.2,13.6
SSTS,Male,58.5,21.7,32.2,12.7
SSTS,Male,58,20.9,32.2,13.1
SSTS,Male,56.5,21.4,32.3,12.9
SSTS,Male,60,21.4,32.4,12.5
SSTS,Male,57,21.3,32.4,13.3
SSTS,Male,61,21.5,32.5,12.8
SSTS,Male,57,21.7,32.6,12.8
SSTS,Male,58,21.7,32.7,13.6
SSTS,Male,60,21.4,32.7,13.3
SSTS,Female,56,20.3,31,12.5
SSTS,Male,59,22.6,31.2,13.2
SSTS,Female,55,19.5,31.3,12.9
SSTS,Male,60.5,22,31.4,13.6
SSTS,Female,58,20.3,31.5,13
SSTS,Female,56,21.9,31.6,13.7
SSTS,Female,54,21.4,31.6,13.2
SSTS,Female,55,20.9,31.6,12.6
SSTS,Male,58.5,22.3,31.7,13.2
SSTS,Male,60,21.9,31.7,13.3
SSTS,Male,60,21.3,31.7,13.1
SSTS,Male,58.5,20.8,31.7,12.8
SSTS,Male,58,21.2,31.8,13.4
SSTS,Male,59.5,20.6,31.8,13.7
SSTS,Male,59,21.2,31.9,13.1
SSTS,Female,56,21.4,32,13
SSTS,Male,59,20.1,32,13.6
SSTS,Female,57,21.3,32.1,13.8
SSTS,Male,58.5,20.5,32.1,12.6
SSTS,Male,60,22.2,32.2,12.8
SSTS,Male,59,21.9,32.2,13.8
SSTS,Male,59,21.6,32.2,13.2
SSTS,Male,59,21.2,32.2,13
SSTS,Male,60,21,32.2,13
SSTS,Male,61,21.3,32.4,13.1
SSTS,Male,59,21,32.4,13.3
SSTS,Male,59,20.5,32.6,12.9
SSTS,Female,54,20.4,30.3,12.9
SSTS,Female,54,20.4,30.6,12.9
SSTS,Male,60,21.2,30.8,12.5
SSTS,Male,59,20.8,30.9,13
SSTS,Male,59,21.8,31,12.3
SSTS,Female,56,21,31,13.2
SSTS,Male,59.5,21.8,31.2,13
SSTS,Female,55,20.7,31.2,12.7
SSTS,Female,57,19.9,31.2,11.7
SSTS,Male,56,21,31.4,12.6
SSTS,Male,60,21,31.4,12.5
SSTS,Female,54,20.9,31.4,13.2
SSTS,Female,54,20.2,31.4,12.5
SSTS,Female,56,20.2,31.4,12.9
SSTS,Male,59,21.9,31.5,12.8
SSTS,Female,55.5,20.9,31.5,12.7
SSTS,Female,54.5,20.1,31.5,13.3
SSTS,Male,58,20.8,31.6,13.4
SSTS,Female,57,21.3,31.7,12.4
SSTS,Male,59,21.2,31.8,12.7
SSTS,Female,55,20.9,31.8,13.4
SSTS,Male,57,20.7,31.8,13.1
SSTS,Female,56,20.7,31.8,12.7
SSTS,Male,60,21.9,31.9,12.9
SSTS,Male,58.5,21.5,31.9,13.3
SSTS,Male,60,21.5,31.9,12.9
SSTS,Male,61,22,32.1,12.8
SSTS,Male,61,21.8,32.1,12.5
SSTS,Male,56,21.6,32.1,12.8
SSTS,Male,61,21.3,32.1,13.4
SSTS,Male,59,22,32.2,12.2
SSTS,Male,59,22.2,32.4,12.7
SSTS,Male,61.5,21.7,32.4,13.2
SSTS,Male,58.5,21.6,32.5,13.2
SSTS,Male,59,21.5,30.6,12.9
SSTS,Female,60,21.6,30.9,12.6
SSTS,Female,55.5,21.6,31.1,12.3
SSTS,Female,56.5,20,31.1,12.9
SSTS,Female,55,21.5,31.2,12.7
SSTS,Female,54,20,31.3,12.3
SSTS,Female,56,21.9,31.4,13.2
SSTS,Female,55,21.7,31.4,13.1
SSTS,Female,56,21,31.4,12.8
SSTS,Female,55.5,20.6,31.4,12.5
SSTS,Female,57,21.2,31.5,12.4
SSTS,Male,56,20.8,31.5,12.9
SSTS,Male,58,22.6,31.6,12.6
SSTS,Male,59,21.3,31.6,13
SSTS,Male,59.5,21.5,31.7,13.1
SSTS,Male,56,20.6,31.7,12.9
SSTS,Male,60,21.9,31.8,13.4
SSTS,Male,59,21.9,31.8,12.7
SSTS,Male,59,22,31.9,12.5
SSTS,Male,59.5,21.9,31.9,12.6
SSTS,Male,61.5,21.9,32.2,12.9
SSTS,Male,59,21.5,32.2,12.8
SSTS,Male,58,20.9,32.2,12.9
SSTS,Male,59,20.6,32.2,13.1
SSTS,Female,54.5,20.1,30.7,12.6
SSTS,Female,55,20.1,30.9,12.5
SSTS,Male,57,20.7,31.2,12.5
SSTS,Female,56,20,31.2,13.1
SSTS,Male,59.5,22.8,31.3,12.4
SSTS,Female,55,20.9,31.5,12.1
SSTS,Female,56.5,19.1,31.5,13.1
SSTS,Male,58,21.9,31.6,13.7
SSTS,Male,58,20.9,31.7,12.7
SSTS,Female,55,21.8,32,13
SSTS,Male,60,20.9,32.1,12.3
SSTS,Male,57,21.2,32.2,12.8
SSTS,Male,60,22.5,32.5,12.9
SSTS,Male,59,21.3,30.6,12
SSTS,Female,54,21,30.6,12.6
SSTS,Female,55.5,20.1,30.6,12.5
SSTS,Male,61,21.3,30.8,12.8
SSTS,Female,56,21.3,30.8,12.5
SSTS,Male,59,20.4,30.8,12.5
SSTS,Female,57,20.2,30.8,12.9
SSTS,Male,57,21,30.9,11.9
SSTS,Female,56,21,31,13.1
SSTS,Male,57,20.8,31.2,13.2
SSTS,Male,,20.6,31.2,12.7
SSTS,Male,56,21.2,31.5,11.9
SSTS,Male,59.5,20.5,31.6,12.5
SSTS,Male,58,20.9,31.8,12.5
SSTS,Female,57,19.7,30.7,12.2
SSTS,Female,56.5,21.7,31.6,12.7
SSTS,Male,58,20.6,31.6,12.2
SSTS,Female,55.5,20.6,30.6,12.5
SSTS,Female,54,20.1,30.9,12.2
SSTS,Male,58,20.9,31.7,12.9
SSTS,Male,58,21.8,30.8,12.3
SSTS,Female,55,19.6,30.8,12.3
SSTS,Male,59,19.9,30.4,12.3
SSTS,Female,54.5,20.8,31.1,12
SESP,Female,59.5,23.8,34.7,15.2
SESP,Male,65,23.4,35.1,14.9
SESP,Male,60,23.2,34.7,15.8
SESP,Male,62.5,22.6,34.7,16
SESP,Female,58.5,22.3,34.4,15
SESP,Male,63,22.4,33.8,15.8
SESP,Male,63.5,24.3,34.5,14.6
SESP,Male,61.5,23.7,34.6,15.4
SESP,Male,67,24.2,34.8,15
SESP,Female,61,22.4,33.4,14.9
SESP,Female,59,23.1,33.9,14.8
SESP,Female,59,23.3,34,14.4
SESP,Male,63,23,34.5,14.9
SESP,Female,59,23.4,33.7,14.4
SESP,Male,61,23.7,34,15.2
SESP,Male,61.5,23.9,34.3,15.3
SESP,Male,62,23,34.5,15.1
SESP,Male,64.5,22.8,34,14.5
SESP,Male,63,22.5,34.1,14.6
SESP,Female,57,23,34.5,14.6
SESP,Female,61,22.3,34.5,15
SESP,Female,57,21.3,34.1,14.6
SESP,Male,63,22.7,33.1,14.3
SESP,Female,57,22.5,33.3,14.2
SESP,Male,59.5,24.1,33.9,14.1
SESP,Male,66,22.4,31.7,15.1
SESP,Male,64,23.9,33.7,14.6
SESP,Male,62,24.9,34.2,15.2
SESP,Male,60,24.1,34.4,14.6
SESP,Male,60,20.6,32.7,14.3
SESP,Female,61,22.5,33.7,14.4
SESP,Female,56.5,23.6,33.9,14.2
SESP,Male,61.5,23.1,33.3,14.2
SESP,Female,60,23.1,33.5,13.2
SESP,Male,61,24.3,34.4,14.8
SSTS,Male,59.5,21.9,31.2,12.6
SSTS,Female,53,20.6,32.5,13.5
SSTS,Male,58.5,21.7,32.8,13.6
SSTS,Male,58,22,31.2,13.2
SSTS,Male,60,21.4,31.8,12.4
SSTS,Male,60,21.5,32,13.1
SSTS,Male,58.5,21.2,32,12.6
SSTS,Female,58,21.5,31.3,12.5
SSTS,Male,59,21.5,31.5,14
SSTS,Male,57,21.1,31.6,12.9
SSTS,Male,57,21.8,31.8,13.7
SSTS,Male,59,21.8,32.1,12.7
SSTS,Female,56.5,21.2,32.2,13.1
SSTS,Male,60,21.3,32.5,12.7
SSTS,Male,56.5,21,32.5,13
SSTS,Male,60,21.6,32.6,13.1
SSTS,Male,56,22.3,32.7,13.5
SSTS,Male,58,21.9,32.7,13.2
SSTS,Female,56,21.9,31.3,12.2
SSTS,Female,54,21.2,31.4,12.9
SSTS,Male,55.5,21.9,31.9,13.3
SSTS,Male,57.5,21.8,31.9,13
SSTS,Male,55.5,21.6,31.9,12.5
SSTS,Male,58,20.6,31.9,12.9
SSTS,Male,58,21.8,32.2,13.5
SSTS,Male,59,21.7,32.2,13.2
SSTS,Male,59.5,22.5,32.3,13
SSTS,Male,56,21.6,32.3,12.9
SSTS,Male,59.5,21.6,32.3,13.2
SSTS,Male,57,21.5,32.3,12.7
SSTS,Male,57,20.8,32.5,13.4
SSTS,Male,58,21.6,32.6,12.5
SSTS,Male,59,21.8,32.7,12.9
SSTS,Male,59.5,20.8,30.3,12.6
SSTS,Male,55.5,21.1,30.8,12.8
SSTS,Male,59.5,21.7,31.7,13.1
SSTS,Male,57,21.1,31.7,12.9
SSTS,Female,55,20.7,31.8,13.5
SSTS,Female,55,21.1,31.9,13.4
SSTS,Male,58,21,31.9,12.4
SSTS,Male,57,21.2,32,13.5
SSTS,Male,60,20.8,32.1,13.1
SSTS,Male,58,22.5,32.2,13.6
SSTS,Male,57,21.8,32.2,12.9
SSTS,Male,57,21.7,32.2,13.3
SSTS,Male,59,21.5,32.2,13.1
SSTS,Male,59,22.1,32.3,13.3
SSTS,Male,58,21,32.3,12.9
SSTS,Male,59.5,21.8,32.4,12.9
SSTS,Male,56.5,21.5,32.4,13.3
SSTS,Male,58,21.5,32.5,12.9
SSTS,Female,55,21.5,32.5,13
SSTS,Male,58.5,20.9,32.6,13.5
SSTS,Male,59.5,21.5,32.8,13.3
SSTS,Male,59,22.2,32.9,12.9
SSTS,Male,60,22,33.5,12.6
SSTS,Male,59,21.8,30.5,11.8
SSTS,Female,54,21.1,30.7,12.4
SSTS,Female,56,21.1,30.8,12.8
SSTS,Male,57,21.2,31.1,12.9
SSTS,Female,57,21.8,31.3,12.8
SSTS,Male,57.5,21.5,31.3,12.3
SSTS,Female,55,21.2,31.8,12.5
SSTS,Female,56.5,21.9,31.9,12.9
SSTS,Male,58,21.8,32,13.3
SSTS,Male,57,21.7,32,13.2
SSTS,Male,60.5,20.7,32,11.8
SSTS,Male,59.5,21.5,32.1,13.8
SSTS,Female,55,21.4,32.1,12.8
SSTS,Male,59,21.8,32.2,12.6
SSTS,Male,60,22.1,32.3,12.7
SSTS,Male,61,21.7,32.3,13.7
SSTS,Male,59,20.7,32.5,13.3
SSTS,Male,60,22.8,32.6,13.3
SSTS,Male,57,22.4,32.6,13.3
SSTS,Male,57,22.3,32.7,13.3
SSTS,Male,59,21.1,31.3,13.3
SSTS,Female,54,20.9,31.6,12.7
SSTS,Male,57,20.5,31.7,11.8
SSTS,Male,59,21.9,31.9,12.8
SSTS,Male,59,21.5,31.9,13
SSTS,Female,55.5,20.1,31.9,12.8
SSTS,Male,57,21,32,12.4
SSTS,Male,55,22.3,32.1,12.9
SSTS,Male,59,22,32.2,12.6
SSTS,Male,58,21.7,32.2,13.2
SSTS,Male,57,21.6,32.2,12.5
SSTS,Male,55.5,21.6,32.4,13.3
SSTS,Male,58,21.8,32.5,13.4
SSTS,Male,58,22,32.8,13.3
SSTS,Male,58,21.6,32.8,13.4
SSTS,Female,56,20.5,30.8,12.8
SSTS,Male,60,21.7,31.3,12.9
SSTS,Male,59,21.8,31.4,13
SSTS,Male,58,21.5,31.4,12.7
SSTS,Male,59.5,21.2,31.5,12.7
SSTS,Female,55.5,21.8,31.6,13.4
SSTS,Male,58.5,22.1,31.7,12.8
SSTS,Female,56,21.7,31.8,12.1
SSTS,Female,56,21.3,31.8,11.9
SSTS,Male,59,21.8,32,13.1
SSTS,Male,55.5,21.4,32,13
SSTS,Male,55,22.4,32.1,13.1
SSTS,Male,58.5,21.7,32.1,12.5
SSTS,Male,58.5,21.7,32.1,12.9
SSTS,Male,59,21.2,32.2,13.1
SSTS,Male,55,21,32.2,12.9
SSTS,Male,60,21.7,32.3,13.2
SSTS,Male,59.5,22.3,32.4,12.9
SSTS,Male,58,22,32.4,13.2
SSTS,Male,58.5,21.9,32.4,12.6
SSTS,Male,56,21.9,32.7,13.3
SSTS,Female,56,21.3,30.9,13
SSTS,Female,57,21.1,31.1,12.5
SSTS,Male,59,21.7,31.2,12.6
SSTS,Male,58,21.3,31.3,12.6
SSTS,Female,55,21.2,31.3,13.1
SSTS,Female,54,20.8,31.3,12.5
SSTS,Female,55,21.7,31.4,12.6
SSTS,Female,53,21,31.4,12.4
SSTS,Female,55,21.6,31.5,12.4
SSTS,Male,58,21.3,31.5,13.1
SSTS,Male,59.5,22.2,31.6,13.2
SSTS,Female,55,21.6,31.6,13.1
SSTS,Female,54,21.6,31.7,13.5
SSTS,Female,54.5,21.2,31.7,12.6
SSTS,Female,55,20.6,31.7,12.9
SSTS,Male,58,20.5,31.7,12.5
SSTS,Female,58,22.2,31.8,13
SSTS,Female,56,21.4,31.9,12.7
SSTS,Male,57.5,20.7,31.9,13.1
SSTS,Female,55,21,32,12.2
SSTS,Male,58,20.8,32.1,12.3
SSTS,Male,58,21.3,32.3,12.3
SSTS,Male,59.5,20.9,32.3,12.8
SSTS,Male,56,21.9,32.5,13.1
SSTS,Male,59,21.5,32.5,13.4
SSTS,Male,59,21.7,32.9,11.8
SSTS,Male,59,21,30.1,12.2
SSTS,Female,54.5,21.8,30.5,12.1
SSTS,Female,54.5,21.2,30.5,12.5
SSTS,Male,57,21.5,30.8,13.1
SSTS,Male,59,20.1,30.9,12.3
SSTS,Male,56,20.9,31.2,12.5
SSTS,Female,54.5,20.6,31.3,13.1
SSTS,Female,52.5,21.8,31.4,13
SSTS,Male,58.5,21.2,31.5,13.1
SSTS,Male,57,20.5,31.5,12.7
SSTS,Female,56,21.3,31.6,13.6
SSTS,Female,55,20.7,31.7,12.4
SSTS,Male,56,21.9,31.8,13.2
SSTS,Female,54,21.7,31.9,12.8
SSTS,Male,56.5,21.4,31.9,13.1
SSTS,Male,58,21.4,31.9,12.4
SSTS,Male,55,22.2,32,12.8
SSTS,Male,60,21,32,13
SSTS,Male,59.5,20.8,32,12
SSTS,Male,57,22.1,32.1,12.7
SSTS,Male,59.5,22.6,32.2,12.7
SSTS,Male,58,22.6,32.2,13.1
SSTS,Male,58,21.3,32.2,12.6
SSTS,Female,54,21.3,32.2,13.1
SSTS,Male,59.5,21.5,32.4,12.4
SSTS,Male,58,21.9,32.6,13.3
SSTS,Male,57,20.2,30.4,11.9
SSTS,Male,56,22.2,31.1,12.7
SSTS,Male,57.5,21.9,31.4,12.6
SSTS,Male,58,21.6,31.4,12.4
SSTS,Female,54,21.4,31.6,12.9
SSTS,Male,60,21.9,31.7,12.8
SSTS,Male,59,21.6,31.7,13.2
SSTS,Male,59,21.3,31.7,13.1
SSTS,Male,58.5,21.2,31.7,13.2
SSTS,Male,58.5,21.6,31.9,12.3
SSTS,Male,61,21.3,31.9,12.5
SSTS,Male,59,20.9,31.9,12
SSTS,Female,58.5,20.1,32,12.8
SSTS,Male,57,21.4,32.1,12.7
SSTS,Male,57,21.4,32.1,12.9
SSTS,Male,61,21.8,32.7,12.8
SSTS,Female,57.5,20.8,30.1,12.7
SSTS,Female,56.5,21.1,31,12.8
SSTS,Female,56,21.9,31.2,13.1
SSTS,Male,59.5,21.6,31.2,13.2
SSTS,Male,58,20.5,31.3,12.7
SSTS,Male,57,21.8,31.4,12.6
SSTS,Male,58.5,21.7,31.6,12.3
SSTS,Male,57,21.9,32,12.4
SSTS,Male,58,21.6,32.1,12.6
SSTS,Female,58.5,21.8,30.6,12.1
SSTS,Female,56,20.8,30.8,12.2
SSTS,Female,55,20.5,30.9,12.5
SSTS,Female,54,22.1,31.1,12.5
SSTS,Male,59,20.7,31.2,11.6
SSTS,Female,55,21.5,31.3,12.4
SSTS,Male,59,21.7,31.6,12.9
SSTS,Male,55,20.8,31.6,12.8
SSTS,Female,57,20.7,31.8,12.7
SSTS,Female,55.5,21.5,31.9,12.5
SSTS,Male,57.5,21.7,32.1,12.6
SSTS,Male,57,21.4,32.2,12.7
SSTS,Male,57,21.9,32.6,13.1
SSTS,Female,53,21.3,31.2,12.1
SSTS,Male,59,21.9,31.7,12.5
SSTS,Female,54.5,21.8,31.7,12.6
SSTS,Male,59,22.1,31.8,12.8
SSTS,Male,57,22.1,31,12.3
SSTS,Male,58,22.1,31.2,12.2
SSTS,Male,59,20.8,31.4,12.2
SSTS,Male,57.5,21.4,31.8,12.1
SSTS,Male,55,21.6,31,12.8
SSTS,Female,54,21.1,31.5,12.2
SSTS,Male,60,21.7,31.6,12.6
SSTS,Male,58.5,21.8,32,12.5
SESP,Male,63,23.2,35,14.9
SESP,Female,57.5,22.9,34.8,15
SESP,Female,58,22.6,34.9,14.9
SESP,Male,59,23.5,34.5,15.3
SESP,Female,58.5,23.8,34.3,14.6
SESP,Female,54.5,22,33.1,14.4
SESP,Male,64,23.2,35.1,15.2
SESP,Female,57,23.4,34.3,14.5
SESP,Male,61,24.3,32.4,14
SESP,Male,60,24.3,33.7,15.1
SESP,Male,62,24.4,33.9,14.2
SESP,Male,61,21.6,33.1,14.4
SESP,Male,60.5,24.4,34.2,14.8
SESP,Male,63,24.8,33.3,15.1
SESP,Male,63.5,23.4,34,15.2
SESP,Female,59,22.9,34.1,14.4
SESP,Male,61,23.5,32.9,14.3
SESP,Male,62,23.6,33.8,14.7
SESP,Male,63.5,23.5,34,14
SESP,Female,57,22.4,32.9,13.4
SESP,Female,57,21.8,33.6,14.5
SESP,Male,61,23.2,34.3,14.3
SESP,Female,61,23,34,14.1
SESP,Male,62,22.8,33.9,14.9
SESP,Female,59.5,23.1,34.2,14.4
SESP,Female,57,23.5,32.6,13.3
SSTS,Male,59,21.8,32.8,13.3
SSTS,Male,59,21,30.9,13.5
SSTS,Male,58,21.1,32.4,13.2
SSTS,Male,58,21.7,32.7,13.5
SSTS,Male,56,22,32.1,12.5
SSTS,Male,59,21.3,31.8,14.8
SSTS,Female,57,21.2,31.8,13.6
SSTS,Female,55,20.9,32.1,13.5
SSTS,Male,57,21.7,32.4,13.3
SSTS,Male,60,21.3,32.7,14.1
SSTS,Male,59,21.6,32.8,13.2
SSTS,Male,58,21,30.1,13.6
SSTS,Female,54,20.4,30.8,13.8
SSTS,Male,57,20.9,31.6,13.6
SSTS,Female,55,21.6,32.1,13.4
SSTS,Female,55,20.9,32.1,13.1
SSTS,Male,60,21.4,32.2,13.1
SSTS,Female,57,21.4,32.4,13.9
SSTS,Female,54,21.3,32.6,13.7
SSTS,Male,59.5,21.3,33.3,14.1
SSTS,Female,56,20.5,31,13.7
SSTS,Male,56,20.7,31.4,12.8
SSTS,Male,55,21.1,31.8,13.1
SSTS,Male,57,21,31.9,13.8
SSTS,Female,57,20.4,31.9,13.1
SSTS,Male,55.5,20.8,32.4,13
SSTS,Male,58,21.6,32.7,13.3
SSTS,Male,61,21.7,32.9,12.7
SSTS,Male,59,21.4,32.9,13.3
SSTS,Female,56.5,20.2,31.2,13.2
SSTS,Female,55,21.3,31.5,13.1
SSTS,Male,55,21,31.8,13
SSTS,Male,58,20.3,32,13.4
SSTS,Male,58,21.3,32.2,13.4
SSTS,Female,55,21.3,32.4,13.4
SSTS,Male,59.5,20.6,29.8,12.9
SSTS,Male,58,21.6,31.3,13.1
SSTS,Female,53.5,20.5,31.6,12.8
SSTS,Male,59,21.8,31.8,12.8
SSTS,Male,58,21.6,32.2,14.1
SSTS,Male,59.5,21.3,32.2,12.6
SSTS,Male,59,20.4,32.5,13.8
SSTS,Female,54.5,21.2,30.9,12.7
SSTS,Male,56,20.4,31,12.7
SSTS,Female,56,21.1,31.3,13.4
SSTS,Male,56,20.7,31.4,13
SSTS,Male,56,20.6,31.4,12.2
SSTS,Male,57,20.9,31.8,12.6
SSTS,Male,58,20.8,31.8,13.1
SSTS,Male,60,21.8,31.9,13.4
SSTS,Male,57,22.2,32,12.7
SSTS,Male,57,21.4,32,13.6
SSTS,Male,59,21.8,32.2,12.5
SSTS,Male,57,20.9,31.1,13.6
SSTS,Male,58,21,31.2,13.6
SSTS,Male,58.5,20.8,31.3,12.7
SSTS,Male,56.5,20.4,31.4,13.1
SSTS,Male,58.5,21.6,31.5,14.5
SSTS,Female,52,20.6,31.5,12.5
SSTS,Male,59.5,20.5,31.5,13.3
SSTS,Female,57,21.3,31.7,12.6
SSTS,Male,58.5,20.6,30.7,13.8
SSTS,Male,58,21.1,31.4,13.1
SSTS,Male,57,21.4,31.7,13.4
SSTS,Male,58,21.4,32.3,12.6
SSTS,Male,56,20.2,31.4,12.8
SSTS,Male,60,20.9,31.5,12.6
SSTS,Male,59,21.1,30.9,13
SSTS,Male,59.5,20.4,31.5,13.2
SSTS,Male,57,20.1,31.7,13.6
SSTS,Female,54,21.1,30.8,12.4
SESP,Male,63,24.4,35.7,16.5
SESP,Male,62,22.8,34.3,16.6
SESP,Male,64,24.7,35.6,16.6
SESP,Male,62,23.5,34.6,15
SESP,Male,60,23.3,34.2,14.8
SESP,Female,61,23.4,35.2,15.5
SESP,Male,65,24,34.1,14.2
SESP,Male,63,25.4,33.8,15.4
SESP,Male,63.5,23.1,34.1,14.6
SESP,Female,57,21.9,33.1,13.7
SESP,Male,62,21.5,33.9,14.2
SESP,Female,58,22.5,33.3,14.2
SSTS,Male,58,22.2,32.6,14.1
SSTS,Male,59,22.7,31.4,12.8
SSTS,Male,59,21.4,30.2,13.4
SSTS,Female,55,20.6,30.5,12.6
SSTS,Male,57,22.1,31.3,13.8
SSTS,Male,60,22.1,30.4,13.3
SSTS,Male,56,21.9,30.6,13.3
SSTS,Female,55,21.2,31.7,13.5
SSTS,Female,56,21.7,31.8,12.9
SSTS,Female,54,20.9,31.9,12.9
SSTS,Male,57,21.8,32.2,12.7
SSTS,Female,55,20.6,31.2,13.7
SSTS,Female,54,21.5,31.6,13
SSTS,Male,57,21.9,31.7,12.5
SSTS,Female,54,21.8,31.7,13.1
SSTS,Male,60,21.7,29.7,12.8
SSTS,Female,55,21.2,31.2,13
SSTS,Female,56,20.4,31.2,13.1
SSTS,Male,59,22.6,31.9,13.3
SSTS,Male,58,21.8,32,12.7
SSTS,Male,59,21.1,32.2,13.3
